,trigrams,frequence
0,le service client,555
1,sur le site,417
2,je nai pas,299
3,sur ce site,246
4,les frais de,235
5,ne sont pas,218
6,ce nest pas,192
7,que je ne,191
8,que je nai,187
9,je nai jamais,187
10,sur mon compte,178
11,frais de livraison,162
12,frais de port,160
13,de la commande,157
14,on me dit,157
15,alors que je,156
16,me dit que,150
17,je reçois un,143
18,du service client,131
19,la carte cdiscount,130
20,service client qui,129
21,je me suis,128
22,jai commandé un,127
23,des frais de,126
24,je ne suis,126
